Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Material_Brass,Material_Clay,Material_Aluminium,Material_Wood,Material_Marble,Material_Bronze,Material_Stone,Transport_Airways,Transport_Roadways,Transport_Waterways,Fragile,Month_6,Month_3,Month_5,Month_12,Month_8,Month_7,Month_10,Month_9,Month_4,Month_2,Month_11,Month_1,Year_2015,Year_2017,Year_2016,Year_2019,Year_2018,Week_2,Week_6,Week_3,Week_4,Week_0,Week_1,Week_5,Customer Information,Customer Location_WY,Customer Location_KY,Customer Location_PA,Customer Location_AL,Customer Location_WV,Customer Location_CA,Customer Location_ND,Customer Location_GA,Customer Location_CO,Customer Location_AE,Customer Location_MI,Customer Location_NM,Customer Location_AR,Customer Location_AP,Customer Location_IA,Customer Location_MN,Customer Location_NH,Customer Location_AA,Customer Location_OK,Customer Location_HI,Customer Location_RI,Customer Location_LA,Customer Location_DE,Customer Location_ID,Customer Location_CT,Customer Location_MS,Customer Location_FL,Customer Location_MA,Customer Location_KS,Customer Location_ME,Customer Location_NC,Customer Location_MD,Customer Location_SD,Customer Location_MT,Customer Location_IL,Customer Location_AZ,Customer Location_AK,Customer Location_NY,Customer Location_NJ,Customer Location_TN,Customer Location_MO,Customer Location_IN,Customer Location_UT,Cost
0.75,38.0,15.0,706.0,4.89,24.11,570.0,29.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8401293299736885
0.41,3.0,2.0,39.0,6.26,17.88,6.0,24.14,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.6612576422412
0.94,17.0,6.0,217.0,4.98,24.17,102.0,29.150000000000002,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.604878347147814
0.92,16.0,7.0,3068.0,5.8,16.02,112.0,21.82,-1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.628834712198929
0.48,15.0,8.0,202.0,3.11,20.16,120.0,23.27,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.490877991384453
0.69,10.0,4.0,35.0,6.64,14.01,40.0,20.65,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.919350739132674
0.27,9.0,4.0,188.0,6.64,16.81,36.0,23.45,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.167183098523235
0.67,20.0,6.0,230.0,5.89,12.79,120.0,18.68,-2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.649291089367011
0.46,19.0,7.0,8167.0,17.76,91.02,133.0,108.78,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93056318980812
0.31,5.0,5.0,29.0,4.11,16.01,25.0,20.12,-3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.958850650946495
