Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Fragile,Material,Transport,Month,Year,Week,Customer Information,Customer Location,Cost
0.29,25.0,7.0,10292.0,54.75,75.41,175.0,130.16,0,Yes,No,No,No,Brass,Roadways,4,2016,1,Wealthy,AA,6.745565707004925
0.75,38.0,15.0,706.0,4.89,24.11,570.0,29.0,0,No,Yes,Yes,No,Wood,Roadways,11,2016,3,Wealthy,PA,6.8401293299736885
0.41,3.0,2.0,39.0,6.26,17.88,6.0,24.14,1,Yes,Yes,No,No,Stone,Airways,5,2016,6,Wealthy,IN,5.6612576422412
0.94,17.0,6.0,217.0,4.98,24.17,102.0,29.150000000000002,2,Yes,No,Yes,No,Aluminium,Waterways,4,2016,4,Working Class,SD,6.604878347147814
0.92,16.0,7.0,3068.0,5.8,16.02,112.0,21.82,-1,No,Yes,Yes,No,Brass,Roadways,8,2019,5,Working Class,CA,6.628834712198929
0.48,15.0,8.0,202.0,3.11,20.16,120.0,23.27,2,No,No,Yes,No,Wood,Waterways,4,2016,0,Working Class,MO,5.490877991384453
0.69,10.0,4.0,35.0,6.64,14.01,40.0,20.65,3,No,Yes,Yes,No,Wood,Roadways,7,2019,4,Wealthy,UT,5.919350739132674
0.27,9.0,4.0,188.0,6.64,16.81,36.0,23.45,4,No,No,No,Yes,Clay,Roadways,11,2018,0,Working Class,TN,5.167183098523235
0.67,20.0,6.0,230.0,5.89,12.79,120.0,18.68,-2,Yes,No,Yes,No,Wood,Waterways,3,2015,6,Working Class,MD,5.649291089367011
0.46,19.0,7.0,8167.0,17.76,91.02,133.0,108.78,-1,Yes,No,No,No,Brass,Roadways,2,2016,0,Wealthy,LA,6.93056318980812
0.31,5.0,5.0,29.0,4.11,16.01,25.0,20.12,-3,Yes,Yes,Yes,No,Wood,Airways,9,2015,1,Working Class,AK,4.958850650946495
0.15,7.0,4.0,1233.0,6.89,23.86,28.0,30.75,3,No,No,Yes,No,Marble,Waterways,1,2019,5,Working Class,CO,5.494582919054
0.18,11.0,7.0,1393.0,6.69,17.55,77.0,24.240000000000002,0,Yes,Yes,Yes,No,Bronze,Airways,2,2016,6,Wealthy,CA,5.506631503616245
0.42,15.0,9.683944374209862,97197.0,35.81,76.37,145.25916561314793,112.18,-1,Yes,Yes,Yes,No,Brass,Airways,7,2018,4,Wealthy,LA,7.427251206795628
0.27,28.0,13.0,2223.0,6.03,18.1,364.0,24.130000000000003,3,No,Yes,No,No,Brass,Roadways,9,2018,1,Wealthy,AP,5.5874733522558175
0.0,18.0,9.0,7562.0,5.79,96.22,162.0,102.01,0,No,No,No,No,Bronze,Waterways,9,2018,4,Working Class,NJ,5.930785236296131
0.75,14.0,7.0,136.0,4.16,23.98,98.0,28.14,1,Yes,No,Yes,No,Wood,Airways,7,2015,1,Working Class,AL,6.216765768975991
0.18,30.0,7.0,9646.0,18.0,77.29,210.0,95.29,-1,No,Yes,No,No,Bronze,Airways,4,2017,2,Wealthy,IL,6.257092710028347
0.4635559410234171,9.0,4.0,4222.0,20.26,13.0,36.0,33.260000000000005,-4,No,No,No,No,Brass,Roadways,1,2017,1,Working Class,CO,5.771285347757787
0.06,19.0,15.0,571.0,6.37,13.1,285.0,19.47,-2,Yes,Yes,No,No,Wood,Airways,8,2015,0,Working Class,AZ,4.7825629495452935
0.68,13.0,8.0,2915.0,9.0,19.37,104.0,28.37,2,No,No,Yes,No,Bronze,Roadways,6,2019,0,Working Class,LA,6.869949564246238
0.69,26.0,12.0,640.0,4.52,14.24,312.0,18.759999999999998,4,No,No,Yes,No,Wood,Roadways,11,2015,3,Working Class,KY,6.003837683171123
0.84,34.0,8.0,309.0,5.23,11.18,272.0,16.41,3,Yes,No,Yes,No,Wood,Roadways,6,2017,1,Working Class,NC,6.565983022033464
0.62,21.86857142857143,9.683944374209862,4618.0,6.2,17.45,211.7740292577208,23.65,2,No,No,Yes,Yes,Clay,Roadways,4,2019,3,Wealthy,AA,6.537691097924388
0.64,16.0,8.0,182.0,4.14,11.47,128.0,15.61,4,No,No,Yes,No,Wood,Roadways,7,2016,5,Working Class,ME,5.519017936211107
