Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Fragile,Material,Transport,Month,Year,Week,Customer Information,Customer Location,distance_sum,Cost
0.37,14.0,6.0,912.0,6.22,23.35,84.0,29.57,0,No,Yes,No,Yes,Clay,Airways,3,2017,5,Working Class,NV,10586273.09355826,5.554470071469192
0.58,21.766204081632655,16.0,913.0,6.08,20.91,348.2592653061225,26.990000000000002,2,No,Yes,No,No,Wood,Airways,7,2016,2,Wealthy,MA,10586298.42644174,6.2128064764755635
0.49,13.0,7.0,926.0,5.65,24.5,91.0,30.15,1,Yes,No,Yes,Yes,Clay,Airways,7,2016,4,Working Class,ME,10586404.606441738,5.945289709987368
0.34,10.0,5.0,927.0,5.96,16.06,50.0,22.02,3,No,No,Yes,No,Bronze,Roadways,3,2019,4,Working Class,KY,10586431.53355826,5.407351127572159
0.65,25.0,8.0,927.0,5.91,10.56,200.0,16.47,-3,Yes,Yes,Yes,No,Aluminium,Airways,9,2017,5,Wealthy,AP,10586563.506441738,5.989387391312783
0.62,10.0,4.0,900.0,5.31,22.87,40.0,28.18,-4,Yes,No,Yes,No,Brass,Roadways,2,2015,6,Working Class,TN,10586622.60644174,5.867289249407484
0.57,15.0,7.0,887.0,5.94,14.98,105.0,20.92,3,No,Yes,No,Yes,Clay,Airways,5,2015,2,Working Class,PA,10586642.586441739,5.731462490429511
0.74,21.766204081632655,14.0,902.0,6.35,23.74,304.72685714285717,30.089999999999996,-1,No,No,Yes,No,Wood,Roadways,3,2017,0,Working Class,RI,10586683.44644174,6.59238678362541
0.72,19.0,6.0,910.0,5.37,11.77,114.0,17.14,-1,No,No,No,Yes,Clay,Roadways,9,2017,6,Working Class,NV,10586709.26644174,5.677541163450974
0.52,10.0,5.0,897.0,5.13,22.72,50.0,27.849999999999998,-4,No,No,No,No,Bronze,Waterways,11,2017,6,Working Class,ME,10586713.18644174,5.445702353461095
0.23,16.0,6.0,901.0,5.1,10.44,96.0,15.54,4,Yes,No,Yes,Yes,Clay,Airways,4,2015,2,Wealthy,WY,10586874.05355826,5.443802033290018
0.49,16.0,9.617647058823529,944.0,5.49,16.52,153.88235294117646,22.009999999999998,-3,No,No,No,Yes,Clay,Roadways,5,2016,0,Working Class,AP,10587056.386441741,5.377220964143502
0.87,21.766204081632655,3.0,923.0,5.5,17.95,65.29861224489797,23.45,-2,No,No,No,No,Marble,Roadways,7,2015,4,Working Class,RI,10587094.026441738,5.795328001280299
0.55,45.0,14.0,889.0,6.98,10.03,630.0,17.009999999999998,3,No,No,Yes,No,Wood,Roadways,8,2019,4,Working Class,MT,10587206.20644174,5.831677177618607
0.68,25.0,9.0,880.0,5.46,10.05,225.0,15.510000000000002,-2,Yes,No,Yes,No,Aluminium,Waterways,8,2019,0,Working Class,IN,10587220.94644174,5.778673473497827
0.53,5.0,3.0,875.0,5.48,12.91,15.0,18.39,-1,No,Yes,No,No,Marble,Roadways,3,2017,3,Working Class,MN,10587240.206441738,5.403397842998544
0.9,21.766204081632655,12.0,898.0,5.34,14.32,261.19444897959187,19.66,-4,No,No,No,No,Aluminium,Roadways,9,2016,2,Working Class,MO,10587258.686441738,6.126672658254025
0.02,15.0,8.0,923.0,6.72,13.12,120.0,19.84,-2,No,No,No,Yes,Clay,Roadways,10,2017,6,Wealthy,AL,10587393.933558263,4.828633686113221
0.42,21.766204081632655,7.0,889.0,4.71,10.68,152.36342857142859,15.39,0,No,No,No,Yes,Clay,Roadways,5,2019,4,Working Class,IN,10587413.593558261,5.057200763243577
0.62,10.0,5.0,873.0,6.32,10.95,50.0,17.27,-1,No,Yes,No,No,Bronze,Airways,10,2018,4,Working Class,WI,10587413.96644174,5.567657244751953
0.73,15.0,6.0,947.0,6.17,13.19,90.0,19.36,0,No,Yes,No,No,Bronze,Roadways,2,2015,2,Wealthy,SC,10587415.56644174,6.058562290640476
