Artist Reputation,Height,Width,Weight,Price Of Sculpture,Base Shipping Price,Area,Combined_Price,Duration,International,Express Shipment,Installation Included,Fragile,Material,Transport,Month,Year,Week,Customer Information,Customer Location,Cost
0.46406779661016956,7.0,4.0,5065.0,20.5,28.59,28.0,49.09,-1,No,Yes,Yes,No,Stone,Airways,4,2017,4,Working Class,AZ,6.0416822632686
0.82,19.0,16.0,3726.0,13.59,15.07,304.0,28.66,0,Yes,No,No,Yes,Clay,Waterways,11,2016,4,Working Class,PA,6.148275969731844
0.34,29.0,18.0,3955.0,19.03,13.0,522.0,32.03,1,No,No,Yes,No,Aluminium,Roadways,2,2018,6,Working Class,DE,5.529508449441547
0.62,20.620967741935484,9.598290598290598,4618.0,6.2,17.45,197.92604080507306,23.65,2,No,No,Yes,Yes,Clay,Roadways,4,2019,3,Wealthy,AA,6.537691097924388
0.27,9.0,4.0,188.0,6.64,16.81,36.0,23.45,4,No,No,No,Yes,Clay,Roadways,11,2018,0,Working Class,TN,5.167183098523235
0.19,9.0,5.0,1172.0,5.07,13.57,45.0,18.64,-3,Yes,Yes,Yes,No,Brass,Airways,7,2018,4,Wealthy,AE,5.318806032975353
0.96,14.0,6.0,993.0,10.89,23.44,84.0,34.33,0,Yes,Yes,Yes,No,Bronze,Airways,5,2019,0,Working Class,NY,6.587191823960344
0.41,3.0,2.0,144.0,4.84,14.67,6.0,19.509999999999998,-2,No,No,No,No,Stone,Airways,6,2017,3,Working Class,DE,5.242487481587366
0.08,14.0,6.0,10270.0,28.17,96.74,84.0,124.91,0,No,Yes,No,No,Marble,Airways,12,2017,4,Wealthy,AP,6.293178954222219
0.84,4.0,3.0,10.0,4.66,15.71,12.0,20.37,0,No,No,Yes,No,Wood,Roadways,4,2016,5,Working Class,NH,5.323448907185641
0.47,11.0,6.0,22371.0,11.83,67.02,66.0,78.85,4,No,Yes,Yes,No,Stone,Roadways,11,2017,4,Working Class,AL,6.6925798973171045
0.27,37.0,16.0,7365.0,28.53,29.16,592.0,57.69,-4,Yes,No,Yes,Yes,Clay,Waterways,1,2015,2,Working Class,MA,5.82165439525109
0.92,16.0,7.0,3068.0,5.8,16.02,112.0,21.82,-1,No,Yes,Yes,No,Marble,Roadways,8,2019,5,Working Class,CA,6.628834712198929
0.57,13.0,8.0,33792.0,41.64,67.7,104.0,109.34,-3,No,No,No,No,Marble,Roadways,12,2017,0,Working Class,PA,6.769664938701392
0.3,35.0,10.0,4175.0,17.67,13.81,350.0,31.480000000000004,4,No,Yes,Yes,Yes,Clay,Airways,8,2018,1,Working Class,AA,6.034452194907419
0.47,5.0,9.598290598290598,45.0,4.41,19.45,47.99145299145299,23.86,4,Yes,Yes,No,Yes,Clay,Airways,7,2017,0,Wealthy,MD,5.501951847474021
0.06,19.0,15.0,571.0,6.37,13.1,285.0,19.47,-2,Yes,Yes,No,No,Wood,Airways,8,2015,0,Working Class,AZ,4.7825629495452935
0.56,5.0,9.598290598290598,3184.0,4.35,24.09,47.99145299145299,28.439999999999998,-3,No,Yes,No,No,Stone,Roadways,2,2015,3,Wealthy,NY,5.814339465220845
0.46406779661016956,28.0,9.0,1850.0,10.33,19.85,252.0,30.18,-4,Yes,No,No,No,Aluminium,Waterways,11,2018,0,Working Class,NJ,5.437252880568814
0.37,27.0,12.0,3623.0,10.51,10.68,324.0,21.189999999999998,-4,No,No,Yes,Yes,Clay,Roadways,10,2015,6,Working Class,MN,5.39576163120889
0.32,7.0,5.0,30.0,3.91,20.69,35.0,24.6,-2,No,No,No,No,Wood,Waterways,1,2016,0,Wealthy,ME,5.062911438661627
0.48,15.0,8.0,202.0,3.11,20.16,120.0,23.27,2,No,No,Yes,No,Wood,Waterways,4,2016,0,Working Class,MO,5.490877991384453
0.75,14.0,7.0,136.0,4.16,23.98,98.0,28.14,1,Yes,No,Yes,No,Wood,Airways,7,2015,1,Working Class,AL,6.216765768975991
0.46406779661016956,9.0,4.0,4222.0,20.26,13.0,36.0,33.260000000000005,-4,No,No,No,No,Marble,Roadways,1,2017,1,Working Class,CO,5.771285347757787
0.16,6.0,4.0,2118.0,6.79,11.49,24.0,18.28,0,Yes,No,No,No,Marble,Waterways,9,2015,3,Working Class,FL,5.232551425772417
0.05,26.0,10.0,12838.0,37.52,86.35,260.0,123.87,-1,Yes,No,Yes,No,Bronze,Waterways,9,2016,2,Wealthy,AL,6.233056868490652
0.69,10.0,4.0,35.0,6.64,14.01,40.0,20.65,3,No,Yes,Yes,No,Wood,Roadways,7,2019,4,Wealthy,UT,5.919350739132674
0.16,20.0,9.0,6621.0,5.67,30.27,180.0,35.94,-3,No,No,No,No,Brass,Roadways,3,2015,4,Working Class,MS,5.407933812871359
0.33,27.0,6.0,3937.0,5.7,21.17,162.0,26.87,3,No,Yes,No,No,Bronze,Roadways,6,2019,2,Wealthy,AE,5.718112638964356
0.75,38.0,15.0,706.0,4.89,24.11,570.0,29.0,0,No,Yes,Yes,No,Wood,Roadways,11,2016,3,Wealthy,PA,6.8401293299736885
0.63,8.0,4.0,5228.0,8.7,68.79,32.0,77.49000000000001,-1,No,No,No,No,Marble,Roadways,3,2016,1,Wealthy,MT,6.814037830108231
0.06,10.0,9.598290598290598,9102.0,9.89,96.42,95.98290598290598,106.31,-3,No,Yes,Yes,No,Marble,Roadways,3,2017,6,Working Class,KS,6.095734468283779
0.18,11.0,7.0,1393.0,6.69,17.55,77.0,24.240000000000002,0,Yes,Yes,Yes,No,Bronze,Airways,2,2016,6,Wealthy,CA,5.506631503616245
0.46406779661016956,5.0,3.0,17.0,4.02,11.33,15.0,15.35,1,Yes,No,No,No,Wood,Waterways,7,2017,0,Working Class,NC,4.652816839455444
0.64,16.0,8.0,182.0,4.14,11.47,128.0,15.61,4,No,No,Yes,No,Wood,Roadways,7,2016,5,Working Class,ME,5.519017936211107
0.15,7.0,4.0,1233.0,6.89,23.86,28.0,30.75,3,No,No,Yes,No,Marble,Waterways,1,2019,5,Working Class,CO,5.494582919054
0.5,8.0,4.0,515.0,5.66,19.8,32.0,25.46,0,No,No,No,No,Bronze,Roadways,12,2015,5,Working Class,AP,5.404207741805469
0.46406779661016956,24.0,9.0,318.0,4.42,12.01,216.0,16.43,2,No,No,No,No,Wood,Waterways,9,2018,6,Working Class,AK,4.6198617347310815
0.77,23.0,8.0,9369.0,37.66,33.25,184.0,70.91,-1,No,Yes,No,No,Brass,Roadways,12,2018,3,Wealthy,IL,6.969978622162269
0.41,3.0,2.0,39.0,6.26,17.88,6.0,24.14,1,Yes,Yes,No,No,Stone,Airways,5,2016,6,Wealthy,IN,5.6612576422412
0.93,27.0,11.0,474.0,3.53,17.83,297.0,21.36,1,Yes,No,Yes,No,Wood,Waterways,9,2015,0,Working Class,MA,6.6857610669244485
0.83,17.0,9.0,411.0,4.48,16.05,153.0,20.53,1,No,No,Yes,No,Aluminium,Roadways,3,2017,1,Working Class,SD,6.09805181000363
