总里程,业务类型,需求类型1,需求类型2,是否续签,标的展示策略,地区类型,省内省外,计划靠车前可用分钟数,计划发车前可用分钟数,计划到达前行驶分钟数,计划卸货分钟数,交易运行分钟数,实际靠车前可用分钟数,实际发车前可用分钟数,实际结束前分钟数,调价审核分钟数,始发地_北京市,始发地_广东省,始发地_河南省,始发地_陕西省,目的地_北京市,目的地_广东省,目的地_新疆维吾尔自治区,目的地_河南省,车辆类型分类_厢式运输车,打包类型_人工,打包类型_单边,打包类型_周期往返,打包类型_周期流向,运输等级_一级运输,运输等级_三级运输,运输等级_二级运输,交易对象_B,交易对象_BC,交易对象_C,需求紧急程度_常规订单,需求紧急程度_特急订单,需求紧急程度_紧急订单,调价紧急程度_常规,调价紧急程度_紧急,调价紧急程度_非常紧急,调价类型_未调整,调价类型_调低,调价类型_调高,车辆类型_15.0_30.0,车辆类型_4.2_1.5,车辆类型_5.2_3.0,车辆类型_7.6_7.0,车辆类型_9.6_14.0,线路编码_1,线路编码_2,线路编码_3,线路编码_4,线路编码_5,线路编码_6,线路编码_7,线路编码_8,线路编码_9,线路编码_10,线路编码_11,线路编码_12,线路编码_13,线路编码_14,线路编码_15,线路编码_16,线路编码_17,线路编码_18,线路编码_19,线路编码_20,线路编码_21,线路编码_23,线路编码_24,线路编码_25,线路编码_26,线路编码_27,线路编码_28,线路编码_29,线路编码_31,线路编码_32,线路编码_33,线路编码_34,线路编码_35,线路编码_36,线路编码_37,线路编码_38,线路编码_39,线路编码_40,线路编码_41,线路编码_42,线路编码_43,线路编码_44,线路编码_45,线路编码_46,线路编码_47,线路编码_51,线路编码_52,线路编码_53,线路编码_54,线路编码_55,线路编码_56,线路编码_57,线路编码_58,线路编码_59,线路编码_61,线路编码_62,线路编码_63,线路编码_65,线路编码_66,线路编码_67,线路编码_68,线路编码_69,线路编码_71,线路编码_72,线路编码_73,线路编码_74,线路编码_75,线路编码_77,线路编码_78,线路编码_79,线路编码_80,线路编码_81,线路编码_83,线路编码_85,线路编码_86,线路编码_87,线路编码_88,线路编码_89,线路编码_90,线路编码_91,线路编码_92,线路编码_93,线路编码_94,线路编码_95,线路编码_96,起止省份终止省份始发网点目的网点_北京市_北京市_4_1,起止省份终止省份始发网点目的网点_北京市_北京市_4_2,起止省份终止省份始发网点目的网点_北京市_北京市_4_3,起止省份终止省份始发网点目的网点_广东省_广东省_18_17,起止省份终止省份始发网点目的网点_广东省_广东省_19_10,起止省份终止省份始发网点目的网点_广东省_广东省_5_7,起止省份终止省份始发网点目的网点_广东省_广东省_5_8,起止省份终止省份始发网点目的网点_广东省_广东省_5_9,起止省份终止省份始发网点目的网点_广东省_广东省_6_10,起止省份终止省份始发网点目的网点_广东省_广东省_6_8,起止省份终止省份始发网点目的网点_广东省_广东省_6_9,起止省份终止省份始发网点目的网点_河南省_河南省_14_16,起止省份终止省份始发网点目的网点_河南省_河南省_15_16,起止省份终止省份始发网点目的网点_陕西省_新疆维吾尔自治区_11_20,起止省份终止省份始发网点目的网点_陕西省_新疆维吾尔自治区_11_21,起止省份终止省份始发网点目的网点_陕西省_新疆维吾尔自治区_12_20,地区_1,地区_2,地区_3,地区_4,地区_5,线路指导价（不含税）
45.0,0,1,0,0,0,1,0,21742.0,21772.0,60.0,17.0,1375.583333,21575.233333,21749.716667,4.283333,0.033333,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
241.0,0,1,1,1,1,1,0,228.0,498.0,220.0,41.0,124.0,193.5,438.633333,6.666667,0.1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1189
54.9,1,1,1,1,1,0,0,209.0,244.0,85.0,28.0,105.0,115.233333,162.166667,40.0,0.1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394
33.0,0,1,0,0,0,0,0,32815.0,32845.0,70.0,12.0,2452.833333,32777.483333,32838.183333,2.266667,0.033333,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111
45.0,0,1,0,1,0,1,0,32055.0,32085.0,55.0,41.0,1772.0,32040.383333,32078.05,1.183333,0.45,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
241.0,1,0,0,0,0,1,0,14556.0,14796.0,225.0,46.0,1596.133333,14387.633333,14789.233333,3.083333,0.05,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1094
54.9,1,1,0,1,1,0,0,35338.0,35373.0,65.0,11.0,1048.0,34870.4,35331.05,316.15,17.716667,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403
45.0,0,1,0,0,0,1,0,48154.0,48184.0,60.0,17.0,2874.75,48026.516667,48146.9,3.15,0.033333,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
2544.0,0,1,0,0,0,1,1,23397.0,23457.0,2790.0,66.0,2772.366667,23242.416667,23453.333333,12.966667,0.033333,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10609
45.0,0,1,0,1,0,1,0,32467.0,32497.0,60.0,41.0,2085.0,32241.383333,32357.416667,4.216667,0.583333,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282
