总里程,业务类型,需求类型1,需求类型2,是否续签,标的展示策略,地区类型,省内省外,计划靠车前可用分钟数,计划发车前可用分钟数,计划到达前行驶分钟数,计划卸货分钟数,交易运行分钟数,实际靠车前可用分钟数,实际发车前可用分钟数,实际结束前分钟数,调价审核分钟数,始发地_北京市,始发地_广东省,始发地_河南省,始发地_陕西省,目的地_北京市,目的地_广东省,目的地_新疆维吾尔自治区,目的地_河南省,车辆类型分类_厢式运输车,打包类型_人工,打包类型_单边,打包类型_周期往返,打包类型_周期流向,运输等级_一级运输,运输等级_三级运输,运输等级_二级运输,交易对象_B,交易对象_BC,交易对象_C,需求紧急程度_常规订单,需求紧急程度_特急订单,需求紧急程度_紧急订单,调价紧急程度_常规,调价紧急程度_紧急,调价紧急程度_非常紧急,调价类型_未调整,调价类型_调低,调价类型_调高,车辆类型_15.0_30.0,车辆类型_4.2_1.5,车辆类型_5.2_3.0,车辆类型_7.6_7.0,车辆类型_9.6_14.0,线路编码_1,线路编码_2,线路编码_3,线路编码_4,线路编码_5,线路编码_6,线路编码_7,线路编码_8,线路编码_9,线路编码_10,线路编码_11,线路编码_12,线路编码_13,线路编码_14,线路编码_15,线路编码_16,线路编码_17,线路编码_18,线路编码_19,线路编码_20,线路编码_21,线路编码_23,线路编码_24,线路编码_25,线路编码_26,线路编码_27,线路编码_28,线路编码_29,线路编码_31,线路编码_32,线路编码_33,线路编码_34,线路编码_35,线路编码_36,线路编码_37,线路编码_38,线路编码_39,线路编码_40,线路编码_41,线路编码_42,线路编码_43,线路编码_44,线路编码_45,线路编码_46,线路编码_47,线路编码_51,线路编码_52,线路编码_53,线路编码_54,线路编码_55,线路编码_56,线路编码_57,线路编码_58,线路编码_59,线路编码_61,线路编码_62,线路编码_63,线路编码_65,线路编码_66,线路编码_67,线路编码_68,线路编码_69,线路编码_71,线路编码_72,线路编码_73,线路编码_74,线路编码_75,线路编码_77,线路编码_78,线路编码_79,线路编码_80,线路编码_81,线路编码_83,线路编码_85,线路编码_86,线路编码_87,线路编码_88,线路编码_89,线路编码_90,线路编码_91,线路编码_92,线路编码_93,线路编码_94,线路编码_95,线路编码_96,起止省份终止省份始发网点目的网点_北京市_北京市_4_1,起止省份终止省份始发网点目的网点_北京市_北京市_4_2,起止省份终止省份始发网点目的网点_北京市_北京市_4_3,起止省份终止省份始发网点目的网点_广东省_广东省_18_17,起止省份终止省份始发网点目的网点_广东省_广东省_19_10,起止省份终止省份始发网点目的网点_广东省_广东省_5_7,起止省份终止省份始发网点目的网点_广东省_广东省_5_8,起止省份终止省份始发网点目的网点_广东省_广东省_5_9,起止省份终止省份始发网点目的网点_广东省_广东省_6_10,起止省份终止省份始发网点目的网点_广东省_广东省_6_8,起止省份终止省份始发网点目的网点_广东省_广东省_6_9,起止省份终止省份始发网点目的网点_河南省_河南省_14_16,起止省份终止省份始发网点目的网点_河南省_河南省_15_16,起止省份终止省份始发网点目的网点_陕西省_新疆维吾尔自治区_11_20,起止省份终止省份始发网点目的网点_陕西省_新疆维吾尔自治区_11_21,起止省份终止省份始发网点目的网点_陕西省_新疆维吾尔自治区_12_20,地区_1,地区_2,地区_3,地区_4,地区_5,线路指导价（不含税）
45.0,0,1,0,0,0,1,0,52105.0,52145.0,65.0,17.0,2729.216667,51941.8,52115.116667,1.05,0.033333,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
241.0,1,1,0,0,0,1,0,9521.0,9761.0,225.0,41.0,2716.833333,9512.533333,9756.283333,6.166667,0.116667,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1357
144.0,1,1,0,0,0,1,0,13439.0,13499.0,146.0,85.0,1460.266667,12927.583333,13312.6,412.9,0.033333,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697
54.91,1,1,0,1,1,0,0,42312.0,42432.0,90.0,54.0,2212.0,41853.866667,42025.083333,466.35,0.433333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369
55.22,1,1,0,1,1,0,0,29737.0,29877.0,95.0,54.0,996.0,29735.633333,29854.616667,23.8,0.133333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395
45.0,0,1,0,0,0,1,0,48154.0,48184.0,60.0,17.0,2874.75,48026.516667,48146.9,3.15,0.033333,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
241.0,0,1,1,1,0,1,0,974.0,1044.0,220.0,41.0,702.0,794.033333,1046.883333,7.083333,55.866667,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1181
2544.0,0,1,0,0,0,1,1,42463.0,41862.0,2690.0,257.0,2151.466667,42348.8,42515.8,20.416667,0.033333,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12500
45.0,0,1,1,1,0,1,0,1308.0,1338.0,65.0,17.0,324.0,1186.483333,1313.05,0.166667,0.133333,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
144.0,1,1,0,0,0,1,0,52492.0,52522.0,146.0,85.0,1766.65,51682.8,51832.066667,605.966667,0.05,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835
