总里程,业务类型,需求类型1,需求类型2,线路编码,是否续签,始发网点,目的网点,交易成功时长,成交对象,车辆长度,车辆吨位,标的展示策略,打包类型,运输等级,调价类型,调价紧急程度,始发地省份名称,目的地省份名称,车辆类型分类,交易对象,地区类型,地区,需求紧急程度,计划靠车前可用分钟数,计划发车前可用分钟数,计划到达前行驶分钟数,计划卸货分钟数,交易运行分钟数,实际靠车前可用分钟数,实际发车前可用分钟数,实际结束前分钟数,调价审核分钟数,线路指导价（不含税）
36.0,速运,普通,计划,42,非续签,6,9,127,C,4.2,1.5,DIR,人工,三级运输,调低,常规,广东省,广东省,厢式运输车,C,业务区,2,常规订单,42345.0,42375.0,60.0,12.0,10678.0,42306.583333,42362.4,2.016667,0.1,177
54.9,重货,普通,计划,3,非续签,4,1,1471,B,7.6,7.0,BDC,人工,三级运输,调高,常规,北京市,北京市,厢式运输车,BC,业务区,1,常规订单,24416.0,24616.0,115.0,46.0,9985.0,24322.683333,24565.166667,67.216667,0.533333,422
144.0,重货,普通,临时,91,非续签,19,10,102,B,9.6,14.0,BDC,单边,二级运输,未调整,紧急,广东省,广东省,厢式运输车,BC,分拨区,3,紧急订单,602.0,932.0,146.0,85.0,561.0,472.083333,734.383333,278.3,61.1,959
45.0,速运,普通,计划,85,已分拨续签,18,17,1358,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,14912.0,14942.0,55.0,17.0,1522.266667,14671.983333,14777.783333,2.583333,0.033333,284
241.0,速运,普通,计划,74,已分拨续签,14,16,1265,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,52524.0,52594.0,220.0,41.0,1615.383333,52348.116667,52598.766667,2.933333,0.283333,1191
45.0,速运,普通,计划,88,已分拨续签,18,17,733,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,30455.0,30505.0,60.0,41.0,2147.966667,30399.366667,30470.766667,3.816667,2896.4,284
241.0,速运,普通,计划,73,已分拨续签,14,16,77,B,9.6,14.0,DIR,人工,二级运输,调高,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,13340.0,13460.0,215.0,41.0,2803.366667,13286.116667,13385.0,4.283333,0.05,1022
241.0,重货,区域发运,计划,83,已分拨续签,15,16,54,B,9.6,14.0,DIR,周期流向,二级运输,调低,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,21160.0,21399.0,225.0,41.0,2826.466667,20889.05,21091.1,4.65,0.033333,1145
2544.0,速运,普通,计划,68,非续签,12,20,152,B,15.0,30.0,BDC,周期往返,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,BC,分拨区,4,常规订单,49363.0,49423.0,2790.0,66.0,9251.0,49249.433333,49352.583333,13.25,2.616667,11574
144.0,重货,普通,计划,91,已分拨续签,19,10,941,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,14869.0,14929.0,146.0,85.0,1939.566667,14634.7,14711.166667,275.433333,0.033333,835
144.0,重货,普通,计划,93,已分拨续签,19,10,898,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,33925.0,34045.0,150.0,85.0,1982.05,33815.216667,34022.6,1155.583333,1486.683333,759
45.0,速运,普通,计划,86,已分拨续签,18,17,153,B,5.2,3.0,DIR,人工,二级运输,未调整,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,48221.0,48251.0,60.0,17.0,2728.083333,48119.933333,48164.85,2.233333,0.016667,257
45.0,速运,普通,计划,90,已分拨续签,18,17,1149,B,5.2,3.0,DIR,周期流向,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,44998.0,45028.0,60.0,41.0,1731.233333,44877.783333,44990.866667,6.0,0.033333,284
241.0,速运,普通,计划,72,已分拨续签,14,16,1410,B,9.6,14.0,DIR,周期流向,二级运输,调高,常规,河南省,河南省,厢式运输车,B,分拨区,5,常规订单,49167.0,49627.0,230.0,31.0,1469.633333,48816.716667,48952.583333,7.483333,0.183333,1369
33.0,速运,普通,计划,23,已分拨续签,5,9,428,B,4.2,1.5,DIR,周期流向,三级运输,未调整,常规,广东省,广东省,厢式运输车,B,业务区,2,常规订单,48655.0,48685.0,70.0,12.0,2452.833333,48611.783333,48673.166667,0.516667,0.033333,111
144.0,重货,普通,计划,91,已分拨续签,19,10,43,B,9.6,14.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,31193.0,31263.0,146.0,85.0,2836.85,30415.15,30683.583333,645.7,0.066667,835
2544.0,速运,普通,计划,69,已分拨续签,12,20,11632,B,15.0,30.0,DIR,周期流向,一级运输,未调整,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,24834.0,24894.0,2790.0,66.0,17817.0,24636.7,24897.916667,8.066667,0.183333,15000
144.0,重货,普通,临时,91,非续签,19,10,19,B,9.6,14.0,BDC,单边,二级运输,未调整,常规,广东省,广东省,厢式运输车,BC,分拨区,3,常规订单,781.0,851.0,146.0,85.0,762.0,764.133333,852.55,43.8,0.433333,1022
45.0,速运,普通,临时,87,非续签,18,17,1004,B,5.2,3.0,DIR,人工,二级运输,调高,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,1308.0,1338.0,65.0,17.0,324.0,1186.483333,1313.05,0.166667,0.133333,210
45.0,速运,普通,计划,85,已分拨续签,18,17,1358,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,55232.0,55262.0,55.0,17.0,1521.8,55007.1,55160.516667,5.483333,0.016667,284
2500.0,速运,普通,计划,58,已分拨续签,12,20,1221,B,15.0,30.0,DIR,周期流向,一级运输,调高,常规,陕西省,新疆维吾尔自治区,厢式运输车,B,分拨区,4,常规订单,52487.0,52547.0,2881.0,66.0,1658.85,51920.716667,52145.2,145.066667,0.033333,10922
45.0,速运,普通,计划,85,已分拨续签,18,17,932,B,5.2,3.0,DIR,人工,二级运输,调低,常规,广东省,广东省,厢式运输车,B,分拨区,3,常规订单,19528.0,19558.0,55.0,17.0,1948.383333,19195.266667,19369.966667,1.266667,0.05,280
